clip_name,pfID,label_full_vocab,label_consolidated_vocab,podcast_filename,event_start_inepisode,event_end_inepisode,clip_start_inepisode,clip_end_inepisode,confidence,episode_split_subset,clip_split_subset
1054.wav,1054,Um,Um,Between You & Me Podcast_Ep 54_MORIAH SMALLBONE Becoming a Lead Lady,3195.03200000002,3197.03200000002,3195.03200000002,3197.03200000002,0.85,test,test
1106.wav,1106,Uh,Uh,Tearsheet Podcast_BMO Harris' Niamh Kristufek on empowering women in fintech,1219.2400768,1221.2400768,1219.2400768,1221.2400768,0.85,train,train
1109.wav,1109,Music,Music,UX Podcast_#110 UX Coaching with Whitney Hess,5.018000000000001,7.018000000000001,5.018000000000001,7.018000000000001,0.85,train,train
1139.wav,1139,non_filler,non_filler,The Voice of 5G_Episode 12_5G & IoT,756.4840192,758.4840192,756.4840192,758.4840192,0.85,train,train
1167.wav,1167,Laughter,Laughter,Midwest Dance Symposium_Session 1,4161.3180192,4163.3180192,4161.3180192,4163.3180192,0.85,train,train
1168.wav,1168,Uh,Uh,UX Podcast_#249 Digital anthropology with Genevieve Bell,2081.1649999999613,2083.1649999999613,2081.1649999999613,2083.1649999999613,0.85,train,train
1192.wav,1192,Um,Um,Radio For Humans_PODLUCK Summer 2018 Cooking Show,175.4040064,177.4040064,175.4040064,177.4040064,0.85,train,train
1220.wav,1220,Um,Um,"Yaro Starak_Erika Awakening From Lawyer To Seduction Coach And Tapping Trainer Making $370,000 A Year",3008.2839456,3010.2839456,3008.2839456,3010.2839456,0.85,train,train
1258.wav,1258,Uh,Uh,StickerGiant_Betsy Lay from Lady Justice Brewing Talks About How Beer Can Make the World a Better Place,770.6449807999999,772.6449807999999,770.6449807999999,772.6449807999999,0.85,train,train
1290.wav,1290,Uh,Uh,UX Podcast_#140 Storymapping with Donna Lichaw,266.5940032,268.5940032,266.5940032,268.5940032,0.85,train,train
1292.wav,1292,Um,Um,UX Podcast_#140 Storymapping with Donna Lichaw,551.4369999999984,553.4369999999984,551.4369999999984,553.4369999999984,0.85,train,train
1299.wav,1299,Words,Words,UX Podcast_#237 User research during a pandemic with Mar Murube,724.4319936,726.4319936,724.4319936,726.4319936,0.85,train,train
1317.wav,1317,Um,Um,Sophie Green_'I Was Daydreaming About This Place I Couldn't Get To',130.84400000000022,132.84400000000022,130.84400000000022,132.84400000000022,0.85,train,train
1339.wav,1339,Words,Words,Yaro Starak_How To Hire Someone To Handle All Your Email For You,2870.5489328000003,2872.5489328000003,2870.5489328000003,2872.5489328000003,0.85,train,train
1373.wav,1373,Uh,Uh,Animal Talk_Matt's New 9 Year Old Puppy - Episode 92,1008.1199999999932,1010.1199999999932,1008.1199999999932,1010.1199999999932,0.85,train,train
1413.wav,1413,Um,Um,Break The Cycle_Episode 7 Patriarchy,1068.466936,1070.466936,1068.466936,1070.466936,0.85,test,test
1414.wav,1414,Laughter,Laughter,a16z_a16z Podcast A Whirlwind Tour of Policy Issues in Tech,705.1279999999961,707.1279999999961,705.1279999999961,707.1279999999961,0.85,train,train
1438.wav,1438,Words,Words,Tearsheet Podcast_Beyond the stock markets [mini-course],827.5469999999998,829.5469999999998,827.5469999999998,829.5469999999998,0.85,train,train
1452.wav,1452,Uh,Uh,Education_Ep 1 - Handmade Dev Show 2017,3650.440000000057,3652.440000000057,3650.440000000057,3652.440000000057,0.85,validation,validation
1484.wav,1484,Uh,Uh,CEO Interview 2017_Pat Finn,1207.3300800000002,1209.3300800000002,1207.3300800000002,1209.3300800000002,0.85,test,test
1499.wav,1499,Um,Um,Arts Council England_Digital R&D for the Arts Forum distributing content discussion,2095.7809999999704,2097.7809999999704,2095.7809999999704,2097.7809999999704,0.85,train,train
1504.wav,1504,Um,Um,UX Podcast_#197 Mental health with Jennifer Akullian,589.4170352000001,591.4170352000001,589.4170352000001,591.4170352000001,0.85,train,train
1515.wav,1515,Breath,Breath,"Techdirt_Twitter, Free Speech, And Mob Behavior",2877.5940000000573,2879.5940000000573,2877.5940000000573,2879.5940000000573,0.85,train,train
1553.wav,1553,Words,Words,"SouthwestCrimePodcast_Wine, Dine & True Crime JonBenét Ramsey",1857.4929648,1859.4929648,1857.4929648,1859.4929648,0.85,train,train
1555.wav,1555,Uh,Uh,Spaces Podcast_Evolution of Architecture I,3392.343945600001,3394.343945600001,3392.343945600001,3394.343945600001,0.85,test,test
1573.wav,1573,Words,Words,UX Podcast_#180 Mobile frustrations with Lina Hansson,1525.7090224,1527.7090224,1525.7090224,1527.7090224,0.85,train,train
1601.wav,1601,Breath,Breath,Education-Factory_Teens Talking,1203.2559680000002,1205.2559680000002,1203.2559680000002,1205.2559680000002,0.85,train,train
1620.wav,1620,Um,Um,a16z_a16z Podcast A Whirlwind Tour of Policy Issues in Tech,1519.7069999999742,1521.7069999999742,1519.7069999999742,1521.7069999999742,0.85,train,train
1647.wav,1647,Um,Um,"a16z_a16z Podcast Holy Non Sequiturs, Batman What Disruption Theory Is ... and Isn't",780.9809999999969,782.9809999999969,780.9809999999969,782.9809999999969,0.85,train,train
1698.wav,1698,Um,Um,UX Podcast_#135 Asian e-commerce & Object Oriented UX with Stephanie Rieger & Sophia Voychehovski,1303.7950000000003,1305.7950000000003,1303.7950000000003,1305.7950000000003,0.85,train,train
1717.wav,1717,Music,Music,Wine and Popcorn_Ep 023 Olivia Pope Stuntin Like Her Daddy Scandal Ep 8 Season 5,121.66100000000004,123.66100000000004,121.66100000000004,123.66100000000004,0.85,test,test
1729.wav,1729,Um,Um,The Open Data Institute_Friday lunchtime lecture Data for democracy – how to stand for parliament with open data,1051.0769999999925,1053.0769999999925,1051.0769999999925,1053.0769999999925,0.85,train,train
1773.wav,1773,Words,Words,Yaro Starak_Kim Sorgius Single Mother Of 4 Makes $30K-Mo Selling Digital Products,1501.0900224000004,1503.0900224000004,1501.0900224000004,1503.0900224000004,0.85,train,train
1773.wav,1773,Words,Words,Yaro Starak_Kim Sorgius Single Mother Of 4 Makes $30K-Mo Selling Digital Products,1501.0900224000004,1503.0900224000004,1501.0900224000004,1503.0900224000004,0.85,train,train
1876.wav,1876,Words,Words,Parental Settings_Weekend Getaway,222.8140096,224.8140096,222.8140096,224.8140096,0.85,train,train
1876.wav,1876,Words,Words,Parental Settings_Weekend Getaway,222.8140096,224.8140096,222.8140096,224.8140096,0.85,train,train
1880.wav,1880,filler,filler,Verity The Podcast_Episode 10_Are Fast Friendships Bad_,442.25899999999984,444.25899999999984,442.25899999999984,444.25899999999984,0.85,train,train
2002.wav,2002,Words,Words,Animal Talk_Take a photo of a bear from 15 angles - Episode 44,2301.6941152,2303.6941152,2301.6941152,2303.6941152,0.85,train,train
2012.wav,2012,Words,Words,UX Podcast_#211 Disruptive design patterns with Laura Kalbag,1634.8989552,1636.8989552,1634.8989552,1636.8989552,0.85,train,train
2041.wav,2041,Uh,Uh,The Voice of 5G_Episode 12_5G & IoT,2726.3401888000003,2728.3401888000003,2726.3401888000003,2728.3401888000003,0.85,train,train
2043.wav,2043,Um,Um,UX Podcast_#173 Building a team with Alissa Briggs,1018.4519999999928,1020.4519999999928,1018.4519999999928,1020.4519999999928,0.85,train,train
2060.wav,2060,Um,Um,Tearsheet Podcast_BMO Harris' Niamh Kristufek on empowering women in fintech,20.727,22.727,20.727,22.727,0.85,train,train
2078.wav,2078,Um,Um,Education_Ep 1 - Handmade Dev Show 2017,113.7640032,115.7640032,113.7640032,115.7640032,0.85,validation,validation
2092.wav,2092,Breath,Breath,"a16z_a16z Podcast Teams, Trust, and Object Lessons",1184.6859999999874,1186.6859999999874,1184.6859999999874,1186.6859999999874,0.85,train,train
2105.wav,2105,Um,Um,UX Podcast_#198 Connected content with Carrie Hane,354.8340000000001,356.8340000000001,354.8340000000001,356.8340000000001,0.85,train,train
2105.wav,2105,Um,Um,UX Podcast_#198 Connected content with Carrie Hane,354.8340000000001,356.8340000000001,354.8340000000001,356.8340000000001,0.85,train,train
2124.wav,2124,Um,Um,This Movie's About You_Episode 40_Karen Gordon,644.4479999999984,646.4479999999984,644.4479999999984,646.4479999999984,0.85,train,train
2125.wav,2125,Um,Um,Animal Talk_Matt's New 9 Year Old Puppy - Episode 92,1830.1769999999697,1832.1769999999697,1830.1769999999697,1832.1769999999697,0.85,train,train
2196.wav,2196,non_filler,non_filler,Claire Zorn_'Turns Out I Had More Things To Write Down!',1442.345999999976,1444.345999999976,1442.345999999976,1444.345999999976,0.85,test,test
2226.wav,2226,Words,Words,The Open Data Institute_Friday lunchtime lecture Bad Data (and how to fix it),1688.8089999999736,1690.8089999999736,1688.8089999999736,1690.8089999999736,0.85,train,train
2274.wav,2274,filler,filler,Verity The Podcast_Episode 10_Are Fast Friendships Bad_,579.1149999999963,581.1149999999963,579.1149999999963,581.1149999999963,0.85,train,train
2281.wav,2281,Uh,Uh,UX Podcast_#199 Physical prototypes with Kathryn McElroy,651.1679999999978,653.1679999999978,651.1679999999978,653.1679999999978,0.85,train,train
2308.wav,2308,Words,Words,Bear and Bear Cub Family Gaming_Episode 17_The One Where No Man's Sky Is Finally Out!,1381.4050864,1383.4050864,1381.4050864,1383.4050864,0.85,train,train
2340.wav,2340,Laughter,Laughter,Midwest Dance Symposium_Session 1,4055.549000000054,4057.549000000054,4055.549000000054,4057.549000000054,0.85,train,train
2354.wav,2354,Um,Um,a16z_a16z Podcast Bots and Beyond,940.7439999999943,942.7439999999943,940.7439999999943,942.7439999999943,0.85,train,train
2391.wav,2391,Uh,Uh,UX Podcast_#250 Factfulness with Anna Rosling Rönnlund,1534.7120832,1536.7120832,1534.7120832,1536.7120832,0.85,train,train
2408.wav,2408,Uh,Uh,UX Podcast_#230 Growth marketing with Sara Öhman,430.82899999999927,432.82899999999927,430.82899999999927,432.82899999999927,0.85,train,train
2446.wav,2446,Uh,Uh,artwarez_Buen Vivir. Interview with Penny Travlou,2232.664999999972,2234.664999999972,2232.664999999972,2234.664999999972,0.85,test,test
2474.wav,2474,Uh,Uh,"Newberry Library_Women, Religion, and Social Change in Chicago Part 1, Introduction and Mary Beth Connolly",892.0559999999945,894.0559999999945,892.0559999999945,894.0559999999945,0.85,train,train
2477.wav,2477,Uh,Uh,Dickens Olewe_Panel at Global Defence of Media Freedom conference in London,756.1630063999999,758.1630063999999,756.1630063999999,758.1630063999999,0.85,train,train
2491.wav,2491,Uh,Uh,UX Podcast_#135 Asian e-commerce & Object Oriented UX with Stephanie Rieger & Sophia Voychehovski,1490.987999999979,1492.987999999979,1490.987999999979,1492.987999999979,0.85,train,train
2531.wav,2531,Um,Um,a16z_a16z Podcast Finding and Hiring for (Expectations) Fit on Both Sides,844.6110256000001,846.6110256000001,844.6110256000001,846.6110256000001,0.85,train,train
2565.wav,2565,Words,Words,UX Podcast_#122 Calm technology with Amber Case,1592.080999999983,1594.080999999983,1592.080999999983,1594.080999999983,0.85,train,train
2578.wav,2578,Uh,Uh,a16z_a16z Podcast The Dream of AI Is Alive in Go,294.41899999999924,296.41899999999924,294.41899999999924,296.41899999999924,0.85,train,train
2583.wav,2583,Um,Um,Tearsheet Podcast_BMO Harris' Niamh Kristufek on empowering women in fintech,1179.4899999999805,1181.4899999999805,1179.4899999999805,1181.4899999999805,0.85,train,train
2601.wav,2601,Um,Um,a16z_a16z Podcast Why SaaS Revenue is Worth More Than Traditional Software Sales,51.983,53.983,51.983,53.983,0.85,train,train
2608.wav,2608,Uh,Uh,Tin Pan Alley_On the Road Charlotte Eriksson,90.919,92.919,90.919,92.919,0.85,test,test
2617.wav,2617,Uh,Uh,UX Podcast_#189 Contrasting design worlds with Namrata Mehta,325.125984,327.125984,325.125984,327.125984,0.85,train,train
2660.wav,2660,Laughter,Laughter,Animal Talk_Episode 67 Impossible Meat and Impossible Pets,1171.526952,1173.526952,1171.526952,1173.526952,0.85,train,train
2677.wav,2677,Uh,Uh,"Introduction to Minecraft In Education_Nov 6, 2013",664.1829776000001,666.1829776000001,664.1829776000001,666.1829776000001,0.85,train,train
2678.wav,2678,Uh,Uh,UX Podcast_Interview with @lissijean & @grinblo at #UXLx 2016,1872.7769999999705,1874.7769999999705,1872.7769999999705,1874.7769999999705,0.85,train,train
2680.wav,2680,Uh,Uh,artwarez_Buen Vivir. Interview with Penny Travlou,321.3010000000002,323.3010000000002,321.3010000000002,323.3010000000002,0.85,test,test
2691.wav,2691,Laughter,Laughter,Americhicks_Heart of the Matter September 14th Hour 2,2178.503999999979,2180.503999999979,2178.503999999979,2180.503999999979,0.85,train,train
2699.wav,2699,Music,Music,UX Podcast_#178 Games user research with Veronica Zammitto,2021.934999999965,2023.934999999965,2021.934999999965,2023.934999999965,0.85,train,train
2714.wav,2714,Uh,Uh,UX Podcast_#120 Product management & UX with Melissa Perri,2713.1781024,2715.1781024,2713.1781024,2715.1781024,0.85,train,train
2794.wav,2794,Um,Um,"SouthwestCrimePodcast_Wine, Dine & True Crime JonBenét Ramsey",12.211999999999993,14.211999999999993,12.211999999999993,14.211999999999993,0.85,train,train
2830.wav,2830,filler,filler,Verity The Podcast_Episode 10_Are Fast Friendships Bad_,1510.4639999999763,1512.4639999999763,1510.4639999999763,1512.4639999999763,0.85,train,train
2859.wav,2859,Um,Um,All The Fly Kids_Chaos & Culture Episode 10 Rethinking the Urban Marketing Aesthetic feat. Karim Lateef,59.141999999999975,61.141999999999975,59.141999999999975,61.141999999999975,0.85,train,train
2890.wav,2890,non_filler,non_filler,Yaro Starak_Kim Sorgius Single Mother Of 4 Makes $30K-Mo Selling Digital Products,2941.6040000000207,2943.6040000000207,2941.6040000000207,2943.6040000000207,0.85,train,train
2907.wav,2907,Uh,Uh,a16z_a16z Podcast Things Come Together -- Truths about Tech in Africa,393.8319999999998,395.8319999999998,393.8319999999998,395.8319999999998,0.85,train,train
2932.wav,2932,Uh,Uh,Yaro Starak_How To Hire Someone To Handle All Your Email For You,1097.4619456,1099.4619456,1097.4619456,1099.4619456,0.85,train,train
2949.wav,2949,Uh,Uh,a16z_a16z Podcast The Tiger and the Dragon -- On Tech and Startups in India and China,1451.5819999999749,1453.5819999999749,1451.5819999999749,1453.5819999999749,0.85,train,train
2957.wav,2957,Uh,Uh,The Open Data Institute_Friday lunchtime lecture Data for democracy – how to stand for parliament with open data,1840.8409999999808,1842.8409999999808,1840.8409999999808,1842.8409999999808,0.85,train,train
2959.wav,2959,Breath,Breath,Radio CMC_Getting To Know Gin,669.2199999999958,671.2199999999958,669.2199999999958,671.2199999999958,0.85,train,train
2964.wav,2964,Uh,Uh,Radio CMC_Getting To Know Gin,1848.943999999968,1850.943999999968,1848.943999999968,1850.943999999968,0.85,train,train
2981.wav,2981,Uh,Uh,CEO Interview 2017_Pat Finn,1491.7659616000003,1493.7659616000003,1491.7659616000003,1493.7659616000003,0.85,test,test
2990.wav,2990,Breath,Breath,Conexiones TheLearningSciences_Five Pillars of the Mind Redesigning Education to Suit the Brain,3146.697009600001,3148.697009600001,3146.697009600001,3148.697009600001,0.85,train,train
3029.wav,3029,Words,Words,UX Podcast_#213 Spacesuit design with Lindsey Aitchison,476.8049999999996,478.8049999999996,476.8049999999996,478.8049999999996,0.85,train,train
3035.wav,3035,Um,Um,Americhicks_Heart of the Matter September 14th Hour 2,1580.051,1582.051,1580.051,1582.051,0.85,train,train
3095.wav,3095,Words,Words,PodcastDetroit_The Nooner Show – Episode 138 – From Wife & Mother to Artist Entrepreneur,2263.1120352000003,2265.1120352000003,2263.1120352000003,2265.1120352000003,0.85,train,train
3097.wav,3097,Laughter,Laughter,PodcastDetroit_1 Girl Revolution – Episode 4_Detroit Girl Power and Beauty with Candice Simons,1830.9041312,1832.9041312,1830.9041312,1832.9041312,0.85,train,train
3140.wav,3140,Words,Words,The Genealogy Happy Hour_Episode 20_Privacy,100.95300000000002,102.95300000000002,100.95300000000002,102.95300000000002,0.85,test,test
3195.wav,3195,Music,Music,"The RegenNarration_79. Gondwana Link The most exciting restoration at scale in Australia, with Keith Bradby OAM",3613.044000000063,3615.044000000063,3613.044000000063,3615.044000000063,0.85,test,test
3201.wav,3201,Um,Um,Newberry Library_Conversation with Kenyatta Uncovering Your Ancestry,3813.6529968,3815.6529968,3813.6529968,3815.6529968,0.85,train,train
3293.wav,3293,Words,Words,a16z_a16z Podcast Barbarians at the Gate -- How to Think About Enterprise Security Today,50.642,52.642,50.642,52.642,0.85,train,train
3379.wav,3379,Um,Um,Beer Tour Guy Podcast_Episode 12 - Mark Larson - Falling Down Beer Company,1521.8679999999856,1523.8679999999856,1521.8679999999856,1523.8679999999856,0.85,test,test
3396.wav,3396,Words,Words,"a16z_a16z Podcast Good Bubbles, Bad Bubbles -- and Where Unicorns Come from",99.1449968,101.1449968,99.1449968,101.1449968,0.85,train,train
3411.wav,3411,Um,Um,Radio For Humans_PODLUCK Summer 2018 Cooking Show,2987.735000000013,2989.735000000013,2987.735000000013,2989.735000000013,0.85,train,train
3424.wav,3424,Words,Words,a16z_a16z Podcast Bots and Beyond,743.441032,745.441032,743.441032,745.441032,0.85,train,train
3429.wav,3429,Uh,Uh,CEO Interview 2017_Pat Finn,948.326064,950.326064,948.326064,950.326064,0.85,test,test
3435.wav,3435,Breath,Breath,"Techdirt_Twitter, Free Speech, And Mob Behavior",1101.8739999999912,1103.8739999999912,1101.8739999999912,1103.8739999999912,0.85,train,train
3479.wav,3479,Uh,Uh,Animal Talk_Take a photo of a bear from 15 angles - Episode 44,2977.335000000021,2979.335000000021,2977.335000000021,2979.335000000021,0.85,train,train
3508.wav,3508,non_filler,non_filler,a16z_a16z Podcast Finding and Hiring for (Expectations) Fit on Both Sides,339.17799039999994,341.17799039999994,339.17799039999994,341.17799039999994,0.85,train,train
3539.wav,3539,Um,Um,Manifest Arts Podcasts_Kwong Lee (Castlefield Gallery),384.7019999999997,386.7019999999997,384.7019999999997,386.7019999999997,0.85,train,train
3586.wav,3586,Um,Um,UX Podcast_#185 Gaming behaviour with Kellee Santiago,1217.0290096,1219.0290096,1217.0290096,1219.0290096,0.85,train,train
3611.wav,3611,Uh,Uh,UX Podcast_#229 Just enough research with Erika Hall,1061.5439999999917,1063.5439999999917,1061.5439999999917,1063.5439999999917,0.85,train,train
3649.wav,3649,Words,Words,The Come Up Show_Lizzo shares stories about her struggles and sleeping in her car she named “Harvey Dent”,587.2260192,589.2260192,587.2260192,589.2260192,0.85,train,train
3650.wav,3650,Music,Music,Bear and Bear Cub Family Gaming_Episode 17_The One Where No Man's Sky Is Finally Out!,2504.186999999978,2506.186999999978,2504.186999999978,2506.186999999978,0.85,train,train
3682.wav,3682,Words,Words,UX Podcast_#239 Storytelling in design with Anna Dahlström,1103.0909999999928,1105.0909999999928,1103.0909999999928,1105.0909999999928,0.85,train,train
3691.wav,3691,Um,Um,Radio For Humans_PODLUCK Summer 2018 Cooking Show,3244.9789552,3246.9789552,3244.9789552,3246.9789552,0.85,train,train
3706.wav,3706,Words,Words,The Voice of 5G_Episode 12_5G & IoT,1244.402048,1246.402048,1244.402048,1246.402048,0.85,train,train
3749.wav,3749,Music,Music,UX Podcast_#110 UX Coaching with Whitney Hess,4.048,6.048,4.048,6.048,0.85,train,train
3859.wav,3859,Words,Words,Manifest Arts Podcasts_Kwong Lee (Castlefield Gallery),1690.8900224,1692.8900224,1690.8900224,1692.8900224,0.85,train,train
3885.wav,3885,Um,Um,a16z_a16z Podcast Why SaaS Revenue is Worth More Than Traditional Software Sales,785.0199999999932,787.0199999999932,785.0199999999932,787.0199999999932,0.85,train,train
3909.wav,3909,Um,Um,UX Podcast_#185 Gaming behaviour with Kellee Santiago,830.1709999999936,832.1709999999936,830.1709999999936,832.1709999999936,0.85,train,train
3926.wav,3926,Um,Um,Animal Talk_Episode 67 Impossible Meat and Impossible Pets,2548.021849600001,2550.021849600001,2548.021849600001,2550.021849600001,0.85,train,train
3944.wav,3944,Um,Um,"GeeklyBiWeekly_Geekly Bi-Weekly Episode 1 WandaVision, Disney+, Spiderman, HBO MAX",1310.935999999988,1312.935999999988,1310.935999999988,1312.935999999988,0.85,train,train
3977.wav,3977,Words,Words,UX Podcast_#249 Digital anthropology with Genevieve Bell,495.5199872,497.5199872,495.5199872,497.5199872,0.85,train,train
3984.wav,3984,Breath,Breath,Parental Settings_Weekend Getaway,743.4860095999999,745.4860095999999,743.4860095999999,745.4860095999999,0.85,train,train
4015.wav,4015,Uh,Uh,Footy for Two_Transfers and Fantasy League,1762.0999999999729,1764.0999999999729,1762.0999999999729,1764.0999999999729,0.85,test,test
4017.wav,4017,Breath,Breath,a16z_a16z Podcast 'In the Eye of a Tornado' Views on Innovation from China,1250.422999999984,1252.422999999984,1250.422999999984,1252.422999999984,0.85,train,train
4028.wav,4028,Laughter,Laughter,UX Podcast_#140 Storymapping with Donna Lichaw,1801.0529072,1803.0529072,1801.0529072,1803.0529072,0.85,train,train
4035.wav,4035,non_filler,non_filler,UX Podcast_#133 Animation and Fairytale UX with Val Head & Per Axbom,750.461999999996,752.461999999996,750.461999999996,752.461999999996,0.85,train,train
4040.wav,4040,filler,filler,Verity The Podcast_Episode 10_Are Fast Friendships Bad_,1495.3970288000005,1497.3970288000005,1495.3970288000005,1497.3970288000005,0.85,train,train
